,PassengerId,Pclass,Sex,Age,Fare,FamilySize
0,892,3,1,1,7.8292,1
1,893,3,0,1,7.0,2
2,894,2,1,1,9.6875,1
3,895,3,1,1,8.6625,1
4,896,3,0,1,12.2875,3
5,897,3,1,1,9.225,1
6,898,3,0,1,7.6292,1
7,899,2,1,1,29.0,3
8,900,3,0,1,7.2292,1
9,901,3,1,1,24.15,3
10,902,3,1,1,7.8958,1
11,903,1,1,1,26.0,1
12,904,1,0,1,82.2667,2
13,905,2,1,1,26.0,2
14,906,1,0,1,61.175,2
15,907,2,0,1,27.7208,2
16,908,2,1,1,12.35,1
17,909,3,1,1,7.225,1
18,910,3,0,1,7.925,2
19,911,3,0,1,7.225,1
20,912,1,1,1,59.4,2
21,913,3,1,1,3.1708,2
22,914,1,0,1,31.6833,1
23,915,1,1,1,61.3792,2
24,916,1,0,1,262.375,5
25,917,3,1,1,14.5,2
26,918,1,0,1,61.9792,2
27,919,3,1,1,7.225,1
28,920,1,1,1,30.5,1
29,921,3,1,1,21.6792,3
30,922,2,1,1,26.0,2
31,923,2,1,1,31.5,3
32,924,3,0,1,20.575,4
33,925,3,0,1,23.45,4
34,926,1,1,1,57.75,2
35,927,3,1,1,7.2292,1
36,928,3,0,1,8.05,1
37,929,3,0,1,8.6625,1
38,930,3,1,1,9.5,1
39,931,3,1,1,56.4958,1
40,932,3,1,1,13.4167,2
41,933,1,1,1,26.55,1
42,934,3,1,1,7.85,1
43,935,2,0,1,13.0,1
44,936,1,0,1,52.5542,2
45,937,3,1,1,7.925,1
46,938,1,1,1,29.7,1
47,939,3,1,1,7.75,1
48,940,1,0,1,76.2917,1
49,941,3,0,1,15.9,3
50,942,1,1,1,60.0,2
51,943,2,1,1,15.0333,1
52,944,2,0,1,23.0,4
53,945,1,0,1,263.0,6
54,946,2,1,1,15.5792,1
55,947,3,1,1,29.125,6
56,948,3,1,1,7.8958,1
57,949,3,1,1,7.65,1
58,950,3,1,1,16.1,2
59,951,1,0,1,262.375,1
60,952,3,1,1,7.8958,1
61,953,2,1,1,13.5,1
62,954,3,1,1,7.75,1
63,955,3,0,1,7.725,1
64,956,1,1,1,262.375,5
65,957,2,0,1,21.0,1
66,958,3,0,1,7.8792,1
67,959,1,1,1,42.4,1
68,960,1,1,1,28.5375,1
69,961,1,0,1,263.0,6
70,962,3,0,1,7.75,1
71,963,3,1,1,7.8958,1
72,964,3,0,1,7.925,1
73,965,1,1,1,27.7208,1
74,966,1,0,1,211.5,1
75,967,1,1,1,211.5,1
76,968,3,1,1,8.05,1
77,969,1,0,1,25.7,3
78,970,2,1,1,13.0,1
79,971,3,0,1,7.75,1
80,972,3,1,1,15.2458,3
81,973,1,1,1,221.7792,2
82,974,1,1,1,26.0,1
83,975,3,1,1,7.8958,1
84,976,2,1,1,10.7083,1
85,977,3,1,1,14.4542,2
86,978,3,0,1,7.8792,1
87,979,3,0,1,8.05,1
88,980,3,0,1,7.75,1
89,981,2,1,1,23.0,3
90,982,3,0,1,13.9,2
91,983,3,1,1,7.775,1
92,984,1,0,1,52.0,4
93,985,3,1,1,8.05,1
94,986,1,1,1,26.0,1
95,987,3,1,1,7.7958,1
96,988,1,0,1,78.85,2
97,989,3,1,1,7.925,1
98,990,3,0,1,7.8542,1
99,991,3,1,1,8.05,1
100,992,1,0,1,55.4417,2
101,993,2,1,1,26.0,2
102,994,3,1,1,7.75,1
103,995,3,1,1,7.775,1
104,996,3,0,1,8.5167,3
105,997,3,1,1,22.525,1
106,998,3,1,1,7.8208,1
107,999,3,1,1,7.75,1
108,1000,3,1,1,8.7125,1
109,1001,2,1,1,13.0,1
110,1002,2,1,1,15.0458,1
111,1003,3,0,1,7.7792,1
112,1004,1,0,1,31.6792,1
113,1005,3,0,1,7.2833,1
114,1006,1,0,1,221.7792,2
115,1007,3,1,1,14.4542,2
116,1008,3,1,1,6.4375,1
117,1009,3,0,1,16.7,3
118,1010,1,1,1,75.2417,1
119,1011,2,0,1,26.0,2
120,1012,2,0,1,15.75,1
121,1013,3,1,1,7.75,2
122,1014,1,0,1,57.75,2
123,1015,3,1,1,7.25,1
124,1016,3,1,1,7.75,1
125,1017,3,0,1,16.1,2
126,1018,3,1,1,7.7958,1
127,1019,3,0,1,23.25,3
128,1020,2,1,1,13.0,1
129,1021,3,1,1,8.05,1
130,1022,3,1,1,8.05,1
131,1023,1,1,1,28.5,1
132,1024,3,0,1,25.4667,5
133,1025,3,1,1,6.4375,2
134,1026,3,1,1,7.8958,1
135,1027,3,1,1,7.8542,1
136,1028,3,1,1,7.225,1
137,1029,2,1,1,13.0,1
138,1030,3,0,1,8.05,1
139,1031,3,1,1,46.9,8
140,1032,3,0,1,46.9,8
141,1033,1,0,1,151.55,1
142,1034,1,1,1,262.375,5
143,1035,2,1,1,26.0,1
144,1036,1,1,1,26.55,1
145,1037,3,1,1,18.0,4
146,1038,1,1,1,51.8625,1
147,1039,3,1,1,8.05,1
148,1040,1,1,1,26.55,1
149,1041,2,1,1,26.0,3
150,1042,1,0,1,83.1583,2
151,1043,3,1,1,7.8958,1
152,1044,3,1,1,,1
153,1045,3,0,1,12.1833,3
154,1046,3,1,1,31.3875,7
155,1047,3,1,1,7.55,1
156,1048,1,0,1,221.7792,1
157,1049,3,0,1,7.8542,1
158,1050,1,1,1,26.55,1
159,1051,3,0,1,13.775,3
160,1052,3,0,1,7.7333,1
161,1053,3,1,1,15.2458,3
162,1054,2,0,1,13.5,1
163,1055,3,1,1,7.0,1
164,1056,2,1,1,13.0,1
165,1057,3,0,1,22.025,3
166,1058,1,1,1,50.4958,1
167,1059,3,1,1,34.375,5
168,1060,1,0,1,27.7208,1
169,1061,3,0,1,8.9625,1
170,1062,3,1,1,7.55,1
171,1063,3,1,1,7.225,1
172,1064,3,1,1,13.9,2
173,1065,3,1,1,7.2292,1
174,1066,3,1,1,31.3875,7
175,1067,2,0,1,39.0,3
176,1068,2,0,1,36.75,1
177,1069,1,1,1,55.4417,2
178,1070,2,0,1,39.0,4
179,1071,1,0,1,83.1583,3
180,1072,2,1,1,13.0,1
181,1073,1,1,1,83.1583,3
182,1074,1,0,1,53.1,2
183,1075,3,1,1,7.75,1
184,1076,1,0,1,247.5208,3
185,1077,2,1,1,16.0,1
186,1078,2,0,1,21.0,2
187,1079,3,1,1,8.05,3
188,1080,3,0,1,69.55,11
189,1081,2,1,1,13.0,1
190,1082,2,1,1,26.0,2
191,1083,1,1,1,26.0,1
192,1084,3,1,1,14.5,3
193,1085,2,1,1,12.35,1
194,1086,2,1,1,32.5,3
195,1087,3,1,1,7.8542,1
196,1088,1,1,1,134.5,3
197,1089,3,0,1,7.775,1
198,1090,2,1,1,10.5,1
199,1091,3,0,1,8.1125,1
200,1092,3,0,1,15.5,1
201,1093,3,1,1,14.4,3
202,1094,1,1,1,227.525,2
203,1095,2,0,1,26.0,3
204,1096,2,1,1,10.5,1
205,1097,1,1,1,25.7417,1
206,1098,3,0,1,7.75,1
207,1099,2,1,1,10.5,1
208,1100,1,0,1,27.7208,1
209,1101,3,1,1,7.8958,1
210,1102,3,1,1,22.525,1
211,1103,3,1,1,7.05,1
212,1104,2,1,1,73.5,1
213,1105,2,0,1,26.0,2
214,1106,3,0,1,7.775,7
215,1107,1,1,1,42.5,1
216,1108,3,0,1,7.8792,1
217,1109,1,1,1,164.8667,3
218,1110,1,0,1,211.5,3
219,1111,3,1,1,8.05,1
220,1112,2,0,1,13.8583,2
221,1113,3,1,1,8.05,1
222,1114,2,0,1,10.5,1
223,1115,3,1,1,7.7958,1
224,1116,1,0,1,27.4458,1
225,1117,3,0,1,15.2458,3
226,1118,3,1,1,7.7958,1
227,1119,3,0,1,7.75,1
228,1120,3,1,1,15.1,1
229,1121,2,1,1,13.0,1
230,1122,2,1,1,65.0,1
231,1123,1,0,1,26.55,1
